id	text	misogynous	misogyny_category	target
60	@RobertaFarnese7 @Blue72558004 @bigtitsex @TEAMBIGTITTYS @BigBreastLuver @tettoone @bigtits_hotchix @BigTitAsian @BigBoobModels @esciledaje @TeamEscile @PhicaNetwork @LaItalicaTetta Buongiorno bellissima tettona	1	stereotype	active
61	@paola_marr Come ho già dett,o se si da del puttaniere, porco maniaco a Weinstein tutte le donne applaudono (comprese quelle che lo hanno opportunisticamente sfruttato). Se invece si da del puttanone a #SelvaggiaLucarelli che voelva fare sesso con Siffred	1	derailing	active
62	@Sary8686 Guardala qua il puttanone ???? https://t.co/SrZValNj1c	1	discredit	active
63	@michela_restivo quando vuoi ti sborro ovunque...	1	sexual_harassment	active
64	@1979NERO @lucatelese Ho fatto i masters puro io a Tele'me so'ngroppato a fidanzata de quer frocione de He Man,qua'a pompinara co a coda de cavallo e'e zinne a punta sadomaso	1	sexual_harassment	active
65	@Flizzar ho una bionda tettona che mi stalkera, è sempre la stessa ma inspiegabilmente cambia sempre nome.	1	stereotype	active
66	Da curare saranno loro, la culona, che ne dite di ina bella TSO? https://t.co/VMeE6OP7Nn	1	stereotype	active
67	RT @Krciys: DONNA SCHIAVA ZITTA E LAVA, la cosa più soddisfacente della mia vita https://t.co/RH3N9SXu2j	1	dominance	passive
68	@Giuliettaxxx84 che bel culone da sfondare...sei una gran porca da usare a piacimento e riempire di sborra	1	sexual_harassment	active
69	@martinahot88 la prossima volta chiama me che oltre a riprenderti di da qualcosa di più duro da infilarti in quel gran pezzo di figa mmmmmmmm sei da infarto	1	sexual_harassment	active
70	@Io_da_solo @Eleleo8 Quella era compresa e sottointesa sennò i wurstel sappiamo noi dove metterli a sto crucchi iniziando dalla culona!	1	stereotype	active
71	@stanzaselvaggia Utente non trovato. La psicopatica si starà mangiando il telefono per quanto le riderà il culo. Sta stronza!	1	discredit	active
72	@giusydiba Ti inculo	1	sexual_harassment	active
73	@GILDA31395269 ciao seguimi ti sbatto io come una cagna mentre il.cornuto guarda	1	sexual_harassment	active
74	@Federic36011668 A chi l hai dedicata alla troia che ti scrive ti amo e sottomessa a quello che vuoi te	1	discredit	active
75	@ficamiatop Donna al volante...figa costante... te la leccherei fin quando non godi come una bella zocc... ????	1	sexual_harassment	active
76	@IsolaDeiFamosi  #isola FUORI LA CULONA https://t.co/qKUw7BUGuc	1	stereotype	active
77	@LunaticaStrega Ti sbatto il cazzo dentro la figa vicino al numero	1	sexual_harassment	active
78	Un aspirante nuovo re sole, la culona inchiavabile di berlusconiana memoria ed un PIRLA che ha venduto il culo ....dei GRECI. tre shithole. https://t.co/q2SAhXfBsy	1	stereotype	active
79	@LunaDarkHot ciao tesoro buon pm un bacio ? sempre più figa ti scoperei	1	sexual_harassment	active
80	Caro #PD , con la tua strategia da duri e puri assomigli a quel puttanone senza ritegno che, una volta invecchiata, imbruttita e ignorata, si dava arie da verginella sdegnosa e integerrima.	1	discredit	passive
81	e poi la culona a il coraggio di criticare.	1	stereotype	active
82	@kal_1979 @beppe_grillo Anche tua mamma e tua sorella sono due gran belle puttanone, la nonnina invece se la sbatteva il cane de li mortacci tua	1	discredit	active
83	@SedInvicta @Iosonolagomma Ricordi di aver seguito la prima dieta a 15 anni, quando la mamma di una mia amica mi definì culona.	1	stereotype	active
84	Gran tettona mulatta, vorrei bere il suo latte caldo https://t.co/bUdbQZqiyN	1	stereotype	active
85	@cercomilf88 9 davvero un bel culone da troione	1	stereotype	active
86	@cercomilf88 Che pezzo di figa che sei Federica ????	1	stereotype	active
87	@LunaDarkHot ciao tesoro buona sera e una buona serata ? un bacio ? oggi mi sono andato a fare una bella scopata con una tettona wow	1	stereotype	active
88	@cottytorino Cagnolini, gattini, fiorellini...con quella faccia da troia, ma posta i cazzi	1	discredit	active
89	@CULONAS07 @giusepp53678094 Ma vedi come se li gusta i due cazzi neri sta troia	1	discredit	active
90	Susina che figa di legno che sei! #upas	1	discredit	active
91	Tua madre è un puttanone turco di merda!!!!!!!!	1	discredit	active
92	@bottega_lo @meb Ma che cazzo c’entra, cogliona esaurita?	1	discredit	active
93	@markorusso69 La gerMAGNA.(E a furia de MAGNA', diventa #Culona) ? https://t.co/zZv0NFZBgA	1	stereotype	active
94	@idanymeria Ida mi sa che. Jonathan.  E un paraculo. Pericoloso una vipera .  lo sai chi va in finale. Perme.. Va Francesca la tettona Cipriani	1	stereotype	active
95	@XII_Roxas Infatti furbissima la tettona	1	stereotype	active
96	Ammazza che culona  #piccolieobesi	1	stereotype	active
97	@1979NERO @MedicoC @abusivissimo @dr_A23 @Iusername70 Macciavrà armeno unin fermiera tettona cheffà massagio anali?	1	stereotype	active
98	@franksee103 Se lo fa speriamo è una bella culona	1	stereotype	active
99	@Ale_Inter_1986 @juventusfc la tua pssessione guardare gli altri giocarla...grandissima balena puttana!	1	discredit	active
100	Bruttina con boccuccia da pompinara https://t.co/qGCSzzS8Kv	1	discredit	active
101	@speroscherzi_ Concordo in pieno. C'è da dire che sicuramente personaggi del genere non hanno nessun interesse all'altra persona e se quella non acconsente è una figa di legno. Come ci parli con gente così?	1	discredit	passive
102	@LunaDarkHot @PiediWeb @Feet4Cash @FansClubIonella @M6969Xx @spicylabPROD @Joephotopassion Ti sborro sui piedi?	1	sexual_harassment	active
103	ELENA MI DICI CHE CAZZO FAI PORCA TROIA NESSUNO TI HA DATO IL PERMESSO https://t.co/soe81CxxHe	1	dominance	active
104	@Ardicapriotiz PUTTANA CHE CAZZO VUOI	1	discredit	active
105	@Giuliettaxxx84 quanto stai godendo a vederti sputtanata per la troia che sei?	1	discredit	active
106	@roby90Pd Puttana succhia cazzi	1	stereotype	active
107	@AliciaLaNena96 Ma sei una tettona meravigliosa ?	1	stereotype	active
108	@1111scihl È quello che ti meriti, un porco che ti sbatte forte come una cagna in calore..che ti sfonda la figa a colpi di cappella e che ti riempie la figa di sborra calda ???	1	sexual_harassment	active
109	La Culona tedesca è un pericolo per la democrazia ⁉️⁉️⁉️ ??? https://t.co/6CJzUYDAYb	1	stereotype	active
110	@MiyakeEau @elettraglide Troia ,succhiacazzi , infame e comunista	1	discredit	active
111	@giusepp53678094 da morire...wow...sarei capace di farmelo succhiare mentre fai pipì e dopo te lo infilerei a gambe aperte,nella tua figa ancora bagnata	1	sexual_harassment	active
112	@CapitanArbano @NuNuZ_00 @annavis08 @Marco_V982 @maurizgor @FLaghezza @SClubsunny @Fuxino89 Potrebbe essere anche Chiara la pompinara	1	discredit	active
113	@GILDA31395269 Buongiorno tettona le scopriamo?	1	stereotype	active
114	Bella quanto vuoi però se sei caga cazzi puoi startene nel tuo figa di legno	1	discredit	active
115	@cercomilf88 Che tettona ?	1	stereotype	active
116	@Gabripalermo2 @meb @pdnetwork Ma ti cago in gola	1	sexual_harassment	active
117	@RobertaFarnese7 quando mi farai scopare il tuo bel culo..oltre alla figa e bocca..:-) :-)	1	sexual_harassment	active
118	RT @marcoarchetti: Vedi quella culona? Sta leggendo Fabio Volo. Io non scrivo per lei. Avremo un pubblico ristretto, ma saremo riconoscibi…"	1	stereotype	active
119	@MikaEstrella1 Cerrrto bella puttanona bocchinara rotta in  culo...!!! Come faccio a contattarti ??? Sono di Milano....	1	discredit	active
120	@_Francy_Fra_P Bella troina puttanona da sbatterti come un porco	1	sexual_harassment	active
121	@duzzo1979 Mammmm che tettona meravigliosa	1	stereotype	active
122	Mi è piaciuto un video di @YouTube: https://t.co/PBtcli22fy SOFIA JAMORA MODELO CULONA EN BIKINI	1	stereotype	active
123	@Lu_si_1 Dale Culona! ?	1	stereotype	active
124	@CristinaGatti8 Ok io arrivo e ti inculo tutta mattina	1	sexual_harassment	active
125	@AntonioColagrec @_beneathsurface @Mishimajakowskj @paulolden1 @turnontheleft @Disciules @MrETP @LuigiBiagini @PeveriMauro @cbennici @Norni2L @mr_brosca @DslLorenzo @LKynes4 @Gianni_Elia @TriderG8 @Euribor_Ghignai @SILVESTRO_74 @SignorErnesto @ulrico_dp @	1	stereotype	active
126	@wanderinfra aah la preferisci acqua e sapone. io la preferisco più puttanone da combattimento, tipo così https://t.co/zjYCyCAb4e	1	stereotype	passive
127	@ikigaikyuu veroo, tipo il tizio dai capelli rossi (maronn lo amo) ha fatto tanto per violet però si vedon poco le sue abilità come capo delle doll, oppure la tipa tettona (maronn amo pure lei) insieme alle altre doll, son poco presenti insomma È STRANO	1	stereotype	active
128	@tuttotuo63 Che bel culone ???	1	stereotype	active
129	@celebrityhard @mayagoldstar Che pompinara che sei Maya	1	discredit	active
130	@Robybisessuale ciao tesoro buon pm e un bacio ? ieri mi sono fatto una Bella scopata con un tettona wow che goduria	1	stereotype	active
131	Figa di legno ??? #radio105	1	discredit	active
132	@olekmonikacp Te lo lecco.ti inculo.te lo riempio	1	sexual_harassment	active
133	@_Francy_Fra_P che belle labbra da super pompinara	1	sexual_harassment	active
134	@casalbosslino Che puttana ti scoperei sempre hummmm	1	sexual_harassment	active
135	Porca puttana la mia coinquilina è un cazzo di invertebrato di merda, non so se riesco ad affrontare altri due mesi senza menarla	1	sexual_harassment	active
136	che puttanone mamma mia https://t.co/mTuoPsvAP7	1	discredit	active
137	@keziahmason1 Due giorni fa mi son dovuto sorbire le lagne di una tettona che aveva male allo sterno al punto da prendere antidolorifici; la mia ex tua omonima, quella a cui piaceva il vecchio porco", parlava sempre di farsele ridurre. A parte a fare le s	1	stereotype	active
138	@celebrityhard @sexystarMarika bella figa da scopare	1	sexual_harassment	active
139	@keziahmason1 E per alcune se non hai almeno 25 cm non vai bene. Sono una minoranza, gli uni e le altre. Se poi preferiscono una tettona imbranata a letto, che te ne fai di uomini così tu?	1	stereotype	active
140	@WantToBeASissy Che faccia da troia	1	discredit	active
141	Lurida cagna bevicazzi mai una giusta ne hai fatta https://t.co/rnhVRpnrZ7	1	discredit	active
142	@luigidimaio alla...CULONA...vuoi dire	1	stereotype	active
143	se confessi ti avere il problma telle crisi ti panico e terrore con me io ti stupro. non farlo	1	sexual_harassment	active
144	@LombardiMaryann Ti sfonderei il culetto aggiungimi troia	1	sexual_harassment	active
145	@tuttotuo63 Che tettona magnifica!!!!!!	1	stereotype	active
146	Ma senti questa BALDRACCA schifosa  ed assassina, ha la faccia come il culo! e la fanno anche parlare invece di arrestarlo processata e mandarla in galera! Ma dove siamo finiti? https://t.co/YxaVoemYrR	1	discredit	active
147	@FreakLand69 Super tettona?	1	stereotype	active
148	Ancora Espressioni dei  Nuovi Stili di Vita" Tanto decantati dalla BALDRACCA, GRASSA e Schifosa Comunista, che una volta stava alla "camera"! https://t.co/mVZ5h3Bysl"	1	discredit	active
149	@erika_battiston quanto adoro la troia che sei...mi eccita da matti e ti scoperei senza fermarmi	1	sexual_harassment	active
150	Alessandra fai poco la figa che lo sappiamo che mo torni a casa a piangere e poi chiami @corsi_gabriele per avere il numero del palestrato #primoappuntamento	1	stereotype	active
151	@Greis262 Posso farti io la scuola guida, a ogni errore una punizione Fai spegnere la macchina ? Mi seghi Freni di botto ? Ti inculoGratti la frizione ? Bocchino Ci stai ??????	1	sexual_harassment	active
152	@AmandaCobello Ti scoperei tutta... anche con quella maglia schifosa addosso ???	1	sexual_harassment	active
153	pora nana vi son video metro rossetticertificati video con calzino ecc ecc ecc haha sei solo na pira troia da tastirmera.che infanga perche psicopatica	1	discredit	active
154	Mi segue la tettona...????????	1	stereotype	active
155	@DashingDiva69 Ti scoperei.... E ti sborro addosso e tu mi vieni in bocca..... ????????	1	sexual_harassment	active
156	@LunaDarkHot @spicylabPROD @SalaoErosPorto @SALONEROTICOBCN @FansClubIonella @M6969Xx @Milf_SexyHot Te lo metterei in bocca in figa nelle tette per una spagnola e nel culo	1	sexual_harassment	active
157	@Beatric18189620 Buonanotte a te splendida tettona	1	stereotype	active
158	Basta vado a dormire sto 4/04 mi ha stressato @Beyonce chiattona schifosa DOMANI QUANDO MI ALZO VOGLIO VEDERE QUEL CAZZ DI ALBUM SIAMO INTESI https://t.co/mnak9XAaNC	1	discredit	active
159	@1111scihl Che bel culone	1	stereotype	active
160	@bradeepo No. Solo uno. La tettona bionda. (Che sfiga eh, proprio lei)	1	stereotype	active
161	ma che cazzo di problemi ha mia mamma ad urlare alle 6.40 della mattina?porca troia vuoi chiudere quella figa di bocca????	1	dominance	active
162	@ale_schirru @MaurizioBlondet Eh già già sanzioni a cazzo di cane senza la minima prova comandati come burattini dalla culona e dal pirlon che si tromba la madre	1	stereotype	active
163	@doppiav86102783 Non mi sembra faccia puttanone?	1	discredit	active
164	@duzzo1979 Buongiorno bellissima tettona fatti vedere completamente nuda	1	stereotype	active
165	@myrtamerlino @Ariachetira @myrtamerlino povera puttana che sei	1	discredit	active
166	Il segreto per posare il proprio culo sull’autobus e non alzarsi per nessuna vecchietta o figa di legno: sedersi attaccati al finestrino e far sedere chiunque accanto a te. Chiunque. #sopravvivereadatacmerda	1	discredit	passive
167	@jo19N26 Oltre che nn capire un cazzo 1 sei un camorrista zozzo 2 c hai la mamma puttana 3 la sorella bocchinara 4 va a morì ammazzato tu e tutta la tua lurida città 5 spero che il Vesuvio te bruci vivo figlio della merda	1	discredit	active
168	@GILDA31395269 Sei una grandissima troia, sono sicuro che ti piace sentirtelo dire mentre ti sbattono	1	sexual_harassment	active
169	A tutti quelli che si scervellano per scrivere il tweet migliore, ricordo, che, di solito, poi arriva il puttanone di turno che scrive mi fa male il culo" e subito 2.000 RT."	1	discredit	passive
170	@_Francy_Fra_P Ti scopo dalla mattina alla sera culo e figa	1	sexual_harassment	active
171	@GILDA31395269 Facciamolo cornuto insieme lui guarda e io mi ti inculo	1	sexual_harassment	active
172	@casalbosslino Ti inculo col mio cazzo duro	1	sexual_harassment	active
173	Vania sta facendo la paracula but guess what figa di legno e deve sudarsi il mio perdono	1	discredit	active
174	Ho voglia di succhiare una tettona	1	sexual_harassment	passive
175	@1111scihl Culona sfondata	1	discredit	active
176	#lariachetira Perché invece delle dichiarazioni di stamane non fate vedere quella di quando ha dato dellaculona inchiavabile" e qualche telf.con la Daddario così quella intelligentona della Picierno potrà ancora dire che è bello vedere 2 donne dietro Berlusca!"	1	discredit	active
177	@Toradel80 Hola culona hahahaahha	1	stereotype	active
178	@dustinfer @Mariskaxxxxxxx @northestonewall Ti inculo messa così Perchè te lo meriti	1	sexual_harassment	active
179	@LunaDarkHot @FansClubIonella @SiliconEros @M6969Xx @BabesPromo2 @spicylabPROD Ti sborro in faccia	1	sexual_harassment	active
180	@MexicanStone @RosseVisconti @Life_Selector Ke pompinara ?? Rossella visconti.???????	1	discredit	active
181	@Alessia11307 Ale credimi lui in confronto a questa un Santo .....almeno aveva le sue idee ...questa ha solo sete di potere ..non gliene frega niente nemmeno della sua gente culona del cavolo	1	stereotype	active
182	@GILDA31395269 ciao gilda complimenti al tuo bel culone....vuoi chattare con me .? ....	1	stereotype	active
183	Nilufar che figa di legno mado smettila#uominiedonne	1	discredit	active
184	@dickerson_des @coinyeezy @TheWhaleReports in italia questo tipo di foto le chiamiamo : la natura morta con la figa di legno. ""	1	discredit	passive
185	Ma amore io voglio scomparti il tuo bel culo fammi sapere e ti faccio il bel sedere https://t.co/y1GxsMj7o5	1	sexual_harassment	active
186	CULONA GOLDFINGER – LA GERMANIA NAVIGA NELL’ORO: HA LE RISERVE PIU’ GRANDI DOPO GLI USA https://t.co/ByQzZ8UXRJ https://t.co/1sKXkV1XBA	1	stereotype	active
187	@Simonottera Se sarei li dove vorresti che ti sborro?	1	sexual_harassment	active
188	@Simonottera Ti sborro in bocca mentre ti lecco i piedi?	1	sexual_harassment	active
189	@mtvitalia Se non erro lei era una grande ....pompinara	1	discredit	active
190	@nadiarizzo1608 @Faby7Roma3 Ma che cazzo ti ridi culona	1	stereotype	active
191	CULONA GOLDFINGER – LA GERMANIA NAVIGA NELL’ORO: HA LE RISERVE PIU’ GRANDI DOPO GLI USA, 3.374 TONNELLATE. E PENSARE CHE NEL 1950 NON C’ERA UN SOLO LINGOTTO NEI CAVEAU DELLA BUNDESBANK – L’ACCUMULO E’ INIZIATO PER CONTENERE IL… https://t.co/4M6lUoTrxr https://t.co/38MKjiO89Y	1	stereotype	active
192	RT @paolopoliti1: CULONA GOLDFINGER – LA GERMANIA NAVIGA NELL’ORO: HA LE RISERVE PIU’ GRANDI DOPO GLI USA, 3.374 TONNELLATE. E PENSARE CHE…	1	stereotype	active
193	@franca_cipriani Buongiorno anche a te tettona	1	stereotype	active
194	@Amateurdogging Queste sono le tettone di mia mamma ...io le succhio ...????????????????????????????????????????????????????????????	1	sexual_harassment	active
195	Quindi fra mezz'ora sono a casa dalla tettona malefica,la sorprendo con una merenda a base di sushi,poi attacco con delle seppioline in umido con polenta tenendola buona con del vino bianco fresco nel frattempo e poi andiamo a ballare la salsa...Sono troppo adorabile!!!	1	stereotype	active
196	RT @f4t_ale: Quindi fra mezz'ora sono a casa dalla tettona malefica,la sorprendo con una merenda a base di sushi,poi attacco con delle sepp…	1	stereotype	active
197	adesso ritorno himo impiccati troia spears	1	dominance	active
198	@FabriTerranova @AnnaMariaCastel Cose da pazzi !!! Sta culona !!!	1	stereotype	active
199	@Sabrina43567316 Eccola la mia tettona!!! ?	1	stereotype	active
200	@giusydiba Ciao. Ma tettona ossolana che fine a fatto?	1	stereotype	active
201	@PaulDiamondACM Pare il puttanone di tor bella monaca che con 5 mila lire ti faceva toccare la zinna sinistra	1	discredit	active
202	@seredisagio ha fatto una bella figura con la finta ipnosi.....sta culona coatta.....	1	stereotype	active
203	RT @MarcoMameli2: la culona inchiavabile l'aureata a pieni voti e con lode di merito all'universita' di menate sul membro:tu provieni dalle…	1	stereotype	active
204	@86_curioso @_Francy_Fra_P Su quella faccia da troia era il minimo! ?	1	discredit	active
205	Però sei un pochino tettona tu? — manco per il cazzo https://t.co/IQYnIeHJKm	1	stereotype	active
206	@PersilQ @borghi_claudio Beh da Mattarella che invita un pregiudicato con tutti gli onori c'è da aspettarsi di tutto, poi figurarsi l'Europa prima di tutto.Vogliamo far dispiacere alla culona? Non sia mai detto.	1	stereotype	active
207	@Sexy_Francy92 sei una donna bellissima hai due occhi verdi delle belle tettone e un gran bel culo	1	stereotype	active
208	A proposito di figa.Ma non sembra anche a voi che la Morali sia una grandissima figa di legno?Poro Scintilla. Gliela fa annusà, ma non gliela da!#isola	1	discredit	active
209	@sticazzinloop @Disagioconvista ??impossibile.. quelle hanno le #tette grandi e il culone	1	stereotype	passive
210	@kimberIyevans la mia prima impressione su di te: brutta copia di mecosa penso attualmente: che tu sia molto figa ti scoperei ammerdati shippo con: me cazzoquale pv ti sta meglio: cristina d’avenachi del gdr mi ricordi: tuo cugino che mi ha nascosto le st	1	sexual_harassment	active
211	@monica30050068 seguimi puttanone?	1	discredit	active
212	Claudiona la puttanona 3: Dopo l'ultima volta che ho scritto, si sono susseguiti altri incontri con Claudia, fugaci e rischiando molto in quanto il tempo a sua disposizione non era mai troppo, abbiamo goduto insieme come pazzi, senza preamboli, ci si… https://t.co/WNiLPF4P2p	1	discredit	active
213	@MassimoInLove Ma Silvana è la tettona?	1	stereotype	active
214	@Giuliettaxxx84 Vuoi giocare un po’ con me come i vecchi tempi lurida puttana?	1	discredit	active
215	@andreastabene_ @Lu_kein BEL PUTTANONE	1	discredit	active
216	@CRAZIFORIU aceco letto puttanona ..???	1	discredit	active
217	@Ennio68 @Giuliettaxxx84 Che puttana succhiacazzi!! E magari ingoia pure litri di sborra...	1	sexual_harassment	active
218	che faccia da troia https://t.co/mcRdJDCZ4U	1	discredit	active
219	@Giuliettaxxx84 a me ecciterebbe sfondarti la fica e il culo e poi prosciugare le mie palle sulla tua faccia da troia in calore	1	sexual_harassment	active
220	@cicciolina_uff bel viso labbra da pompinara	1	discredit	active
221	La mia amante è una lurida troia, insaziabile. Il marito non l' ha mai inculata. Io le ho sverginato il culo pochi mesi fa. Ma il mio cazzo è normale. Così ho chiamato un amico con un cazzo molto largo. Dopo averla chiavata gli ho chiesto di sfondale il… https://t.co/ovwl8bMgV7	1	sexual_harassment	active
222	@MassimoInLove @VoglioLaFavola Si può sapere qualcosa di più sulla tettona? ?	1	stereotype	active
223	@1111scihl Non immagini la voglia di poterti sbattere !!! Non solo  guardare gli altri che lo fanno bel troione mmmm	1	sexual_harassment	active
224	Amore...fammela leccare quella tettona https://t.co/QvDw6rZtMi	1	sexual_harassment	active
225	@GiuliaLadyboy @Asija_Robins @Annunci_Trans @EscortFox @zBakeca @escortrans sei una gran bella puttanone, vedo che ami il cazzo come poche.	1	discredit	active
226	@arbitromirko @RossyPuppy Proprio lei, perchè non è il classico puttanone che ti fa solo sangue.	1	discredit	active
227	Anna Tatangelo é cantante e quindi saprà usare bene la bocca , sexy tettona  e pure cheffa.  Donna da scopare every day. #AnnaTatangelo #MasterChefit	1	sexual_harassment	active
